Title,Location,Shuttle shop,Neighbourhood
14 Karat Home Inc.,"Market Square Tower - 350, Floor 3",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
1889 Wax Lighting,515 S. Hamilton St.,Shuttle Stop: 11 (Green Line),Neighborhood: Centennial Wrenn South
200 Steele,200 Steele - 200 Steele St.,Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
214 Modern Vintage,"214 Modern Vintage - 314 W. Russell Ave., Floor 1",Shuttle Stop: 7 (Green Line),Neighborhood: Russell & Green
220 Elm,220 Elm -  ,Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
25 Mackenzie Lane,110 S. Elm. St.,Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
525 N. Wrenn,"525 N. Wrenn St., Floor1",Shuttle Stop: 22 (Red Line),Neighborhood: Hamilton Wrenn
812 Millis,"812 Millis, Floor 1",Shuttle Stop: 0 (Go Anywhere Shuttle),
A & B Home Group Inc.,"IHFC - H315, H320, Hamilton, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"A & L Furniture Co., LLC","Plaza Suites - 1-531, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
A. Sanoma,"Suites At Market Square - G-4034, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
A.R.T. Furniture Inc.,122 N. Hamilton St.,Shuttle Stop: 16 (Red Line),Neighborhood: Commerce Concourse
"AA Importing Co., Inc.","Showplace - 2308, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
A-America,"IHFC -  W1047, D1002C, Wrenn, Floor 10",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Abbyson,300 E. Green,Shuttle Stop: 13 (Green Line),Neighborhood: Centennial Wrenn South
Abigails,"IHFC - IH108, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Abner Henry,214 E. Martin Luther King Jr. Dr.,Shuttle Stop: 16 (Red Line),Neighborhood: Hamilton Wrenn
Abroad – A Wholesale Home Furnishings Company,"The Wright Place - 121 N. Wrenn St. & 134 N. Main St., Floor 1",Shuttle Stop: 25 (Red Line),Neighborhood: Downtown Main
ACA/Advertising Concepts of America,"Plaza Suites - 1-527 #4, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Acacia,"Resource Center - 329 S. Wrenn St., Floor 2",Shuttle Stop: 13 (Green Line),Neighborhood: Centennial Wrenn South
ACASA Decoracion,"812 Millis, Floor 2",Shuttle Stop: 0 (Go Anywhere Shuttle),
Accent Decor,"IHFC - H309, Hamilton, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Centennial Wrenn South
Accent Touch LLC,"Suites At Market Square - M-6042, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Accentrics Home,"220 Elm - 200, Level 2",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
"Accents Beyond, Inc.","Suites At Market Square - M-1001, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
ACIMA,"Plaza Suites - 1-527 #11, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Acme Furniture,Center Theatre Tower - 150 S. Main St.,Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Downtown Main
Acquisitions Limited,"Suites At Market Square - M-7023, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Adagio Water Features/Dock to Door LTL,"Showplace - 3329, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Adams Furniture,"Chelsea On Green - B101, Floor 1",Shuttle Stop: 6 (Green Line),Neighborhood: Russell & Green
"Adams Furniture USA, Inc.","117 Washboard Rd, Thomasville ",Shuttle Stop: 0 (Go Anywhere Shuttle),
Adesso Inc.,"IHFC - H404, Hamilton, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
ADRIANA HOYOS,"IHFC - IH204, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Aeon Furniture,"IHFC - D546, Design Center, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Affordable Furniture Manufacturing, Inc.",329 S. Main St.,Shuttle Stop: 4 (Green Line),Neighborhood: Downtown Main
Age of Industry,"Chelsea On Green - A204/A205, Floor 1",Shuttle Stop: 6 (Green Line),Neighborhood: Russell & Green
AICO/Amini Innovation Corporation,"IHFC - C802, Commerce, Floor 8",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Aidan Gray,201 N. Main St. ,Shuttle Stop: 26 (Red Line),Neighborhood: Downtown Main
Akara,"Showplace - 3400, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Alan White,"Centers of High Point: Russell - 101, Floor 1",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Alashan Cashmere,"Suites At Market Square - M-7001, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Albany Industries,"Centers of High Point: Hamilton - 201, Level 2",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Alden Parkes,"200 N. Hamilton St. - S Ct 110, Floor 1",Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
Alder & Tweed Furniture,"Commerce & Design - 1C, Floor 1",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
ALEAL by Planum,1822 English Rd.,Shuttle Stop: 0 (Go Anywhere Shuttle),
ALF Uno S.p.A.,"220 Elm - 304, Level 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Alfonso Marina,"200 Steele - 108, Floor 1",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
Alfredo Paredes Studio ,116 S. Lindsay St.,Shuttle Stop: 6 (Green Line),Neighborhood: Market Square & Elm
Algemene USA,"Market Square Tower - 2060, Floor 2",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Alicia Adams Alpaca,"Suites At Market Square - M-7038, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Alicia Peru,"Suites At Market Square - M-7013, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Allegri Crystal by Kalco ,"IHFC - H232, Hamilton, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Allstate Floral, Inc.","IHFC - H430, Hamilton, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Aloka,415 W. High Ave.,Shuttle Stop: 29 (Red Line),Neighborhood: North Elm
AltheaSuite,"Plaza Suites - 1-527 #25, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Althorp Living History,229 W. Russell Ave. ,Shuttle Stop: 8 (Green Line),Neighborhood: Russell & Green
Amadi Carpet Inc.,515 S. Hamilton St.,Shuttle Stop: 11 (Green Line),Neighborhood: Centennial Wrenn South
Amadi Carpet Inc.,"525 N. Wrenn St., Floor1",Shuttle Stop: 22 (Red Line),Neighborhood: Hamilton Wrenn
Amalfi Home Furnishings,"300-310 S. Main St., #1001",Shuttle Stop: 4 (Green Line),Neighborhood: Downtown Main
Amanda Lane Design,"Chelsea On Green - H100/ H101, Floor 1",Shuttle Stop: 6 (Green Line),Neighborhood: Russell & Green
